,GSWP3-W5E5,20CRv3,20CRv3-ERA5,20CRv3-W5E5
Bombus_alpinus,0.93 [0.88-0.96],0.93 [0.89-0.96],0.93 [0.90-0.97],0.93 [0.90-0.96]
Bombus_argillaceus,0.88 [0.81-0.93],0.87 [0.83-0.92],0.87 [0.80-0.95],0.86 [0.75-0.94]
Bombus_balteatus,0.95 [0.91-0.98],0.95 [0.92-0.98],0.95 [0.91-0.98],0.95 [0.92-0.97]
Bombus_barbutellus,0.74 [0.68-0.78],0.74 [0.70-0.78],0.75 [0.72-0.78],0.75 [0.72-0.79]
Bombus_bohemicus,0.82 [0.81-0.83],0.81 [0.80-0.82],0.82 [0.81-0.83],0.82 [0.81-0.83]
Bombus_campestris,0.81 [0.79-0.82],0.81 [0.78-0.83],0.81 [0.80-0.83],0.81 [0.79-0.84]
Bombus_cingulatus,0.91 [0.89-0.94],0.91 [0.90-0.94],0.92 [0.90-0.95],0.92 [0.89-0.94]
Bombus_confusus,0.77 [0.71-0.83],0.78 [0.71-0.87],0.78 [0.70-0.85],0.76 [0.71-0.82]
Bombus_consobrinus,0.91 [0.87-0.95],0.91 [0.87-0.95],0.91 [0.85-0.97],0.91 [0.86-0.96]
Bombus_cryptarum,0.73 [0.70-0.75],0.74 [0.70-0.76],0.73 [0.71-0.76],0.74 [0.70-0.76]
Bombus_distinguendus,0.80 [0.74-0.84],0.81 [0.78-0.85],0.80 [0.74-0.84],0.81 [0.77-0.83]
Bombus_flavidus,0.85 [0.80-0.89],0.85 [0.79-0.90],0.85 [0.81-0.89],0.85 [0.81-0.90]
Bombus_gerstaeckeri,0.93 [0.86-0.98],0.93 [0.89-0.97],0.93 [0.89-0.96],0.92 [0.84-0.97]
Bombus_hortorum,0.75 [0.73-0.76],0.75 [0.74-0.77],0.75 [0.74-0.78],0.74 [0.73-0.77]
Bombus_humilis,0.76 [0.73-0.79],0.76 [0.74-0.77],0.74 [0.72-0.76],0.75 [0.73-0.78]
Bombus_hyperboreus,0.96 [0.89-0.99],0.94 [0.88-0.99],0.95 [0.88-1.00],0.96 [0.93-0.99]
Bombus_hypnorum,0.77 [0.76-0.79],0.77 [0.76-0.79],0.77 [0.76-0.79],0.78 [0.76-0.79]
Bombus_jonellus,0.84 [0.83-0.85],0.84 [0.83-0.85],0.84 [0.83-0.85],0.84 [0.83-0.85]
Bombus_lapidarius,0.78 [0.77-0.79],0.78 [0.77-0.79],0.78 [0.77-0.79],0.78 [0.78-0.80]
Bombus_lapponicus,0.96 [0.93-0.98],0.96 [0.93-0.97],0.96 [0.95-0.97],0.96 [0.95-0.98]
Bombus_lucorum,0.75 [0.74-0.76],0.74 [0.73-0.76],0.75 [0.74-0.75],0.75 [0.74-0.76]
Bombus_mastrucatus,0.86 [0.81-0.89],0.85 [0.82-0.88],0.85 [0.82-0.90],0.86 [0.82-0.89]
Bombus_mendax,0.97 [0.94-1.00],0.97 [0.91-0.99],0.98 [0.94-1.00],0.97 [0.93-1.00]
Bombus_mesomelas,0.93 [0.86-0.97],0.93 [0.83-0.97],0.93 [0.88-0.95],0.93 [0.89-0.97]
Bombus_monticola,0.90 [0.88-0.92],0.90 [0.88-0.93],0.89 [0.84-0.92],0.90 [0.86-0.92]
Bombus_mucidus,0.92 [0.88-0.96],0.91 [0.87-0.96],0.92 [0.87-0.95],0.93 [0.91-0.97]
Bombus_muscorum,0.80 [0.76-0.83],0.80 [0.78-0.83],0.80 [0.78-0.82],0.80 [0.76-0.84]
Bombus_norvegicus,0.79 [0.74-0.83],0.79 [0.77-0.81],0.79 [0.76-0.81],0.79 [0.77-0.81]
Bombus_pascuorum,0.69 [0.67-0.70],0.69 [0.67-0.70],0.69 [0.67-0.70],0.69 [0.68-0.70]
